%-)|emoji.|user has been staring at a green screen for 15 hours straight
(-:|emoji.|user is left handed
(8-o|emoji.|it's mr. bill!
(:i|emoji.|user is an egghead
*:o)|emoji.|and bozo the clown!
*<:-)|emoji.|user is wearing a santa claus hat
+-:-)|emoji.|user is the pope or holds some other religious office
,-)|emoji.|ditto...but he's winking
,:-)|emoji.|same thing...other side
-6%|emoji.|user is braindead
-:-(|emoji.|real punk rockers don't smile
-:-)|emoji.|user is a punk rocker
-=*:-)|emoji.|user is a tex wizard
.-)|emoji.|user only has one eye
3:[|emoji.|mean pet smiley
3:]|emoji.|pet smiley
8-)|emoji.|user is wearing sunglasses
8:-)|emoji.|user is a little girl
:'-(|emoji.|user is crying
:'-)|emoji.|user is so happy, s/he is crying
:(|emoji.|sad
:)|emoji.|happy
:*|emoji.|kisses
:*)|emoji.|user is drunk
:+1:|emoji.|thumbs up sign
:,(|emoji.|crying
:-|emoji.|`user spitting out its chewing tobacco.dwew  wew ewewewewe wewewe we weweweweweweweweweewweweewewwe
:-#|emoji.|user wears braces
:-&|emoji.|user is tongue tied
:-(|emoji.|boo hoo
:-)|emoji.|user shaved one of his eyebrows off this morning|ha ha
:-)-8|emoji.|user is a big girl
:-)~|emoji.|user drools
:-*|emoji.|user just ate something sour
:-/|emoji.|user is skeptical
:-0|emoji.|no yelling!(quiet lab)
:-1:|emoji.|thumbs down sign
:-7|emoji.|user juust made a wry statement
:-9|emoji.|user is licking his/her lips
:-:|emoji.|mutant smiley; the invisible smiley
:->|emoji.|hey hey
:-?|emoji.|user smokes a pipe
:-@|emoji.|user is screaming
:-[|emoji.|user is a vampire
:-c|emoji.|user is really bummed
:-d|emoji.|user is laughing (at you!)
:-e|emoji.|bucktoothed vampire
:-f|emoji.|bucktoothed vampire with one tooth missing
:-i|emoji.|hmmm
:-o|emoji.|oops|uh oh!
:-p|emoji.|nyahhhh!
:-q|emoji.|user is a smoker
:-s|emoji.|user just made an incoherent statement
:-x|emoji.|user's lips are sealed
:-{)|emoji.|user has a mustache
:-{}|emoji.|user wears lipstick
:-~)|emoji.|user has a cold
:100:|emoji.|hundred points symbol
:1234:|emoji.|input symbol for numbers
:1st_place_medal:|emoji.|first place medal
:2nd_place_medal:|emoji.|second place medal
:3rd_place_medal:|emoji.|third place medal
:8ball:|emoji.|billiards
::-)|emoji.|user wears normal glasses
:<|emoji.|what?
:<)|emoji.|user is from an ivy league school
:=)|emoji.|user has two noses
:>|emoji.|what?
:@|emoji.|what?
:[|emoji.|real downer
:]|emoji.|gleep...a friendly midget smiley who will gladly be your friend
:^)|emoji.|user has a broken nose
:_)|emoji.|user's nose is sliding off of his face
:a:|emoji.|negative squared latin capital letter a, variation selector-16
:ab:|emoji.|negative squared ab
:abc:|emoji.|input symbol for latin letters
:abcd:|emoji.|input symbol for latin small letters
:accept:|emoji.|circled ideograph accept
:aerial_tramway:|emoji.|aerial tramway
:afghanistan:|emoji.|regional indicator symbol letter a, regional indicator symbol letter f
:airplane:|emoji.|airplane, variation selector-16
:aland_islands:|emoji.|regional indicator symbol letter a, regional indicator symbol letter x
:alarm_clock:|emoji.|alarm clock
:albania:|emoji.|regional indicator symbol letter a, regional indicator symbol letter l
:alembic:|emoji.|alembic, variation selector-16
:algeria:|emoji.|regional indicator symbol letter d, regional indicator symbol letter z
:alien:|emoji.|extraterrestrial alien
:ambulance:|emoji.|ambulance
:american_samoa:|emoji.|regional indicator symbol letter a, regional indicator symbol letter s
:amphora:|emoji.|amphora
:anchor:|emoji.|anchor, variation selector-16
:andorra:|emoji.|regional indicator symbol letter a, regional indicator symbol letter d
:angel:|emoji.|baby angel
:anger:|emoji.|anger symbol
:angola:|emoji.|regional indicator symbol letter a, regional indicator symbol letter o
:angry:|emoji.|angry face
:anguilla:|emoji.|regional indicator symbol letter a, regional indicator symbol letter i
:anguished:|emoji.|anguished face
:ant:|emoji.|ant
:antarctica:|emoji.|regional indicator symbol letter a, regional indicator symbol letter q
:antigua_barbuda:|emoji.|regional indicator symbol letter a, regional indicator symbol letter g
:apple:|emoji.|red apple
:aquarius:|emoji.|aquarius, variation selector-16
:argentina:|emoji.|regional indicator symbol letter a, regional indicator symbol letter r
:aries:|emoji.|aries, variation selector-16
:armenia:|emoji.|regional indicator symbol letter a, regional indicator symbol letter m
:arrow_backward:|emoji.|black left-pointing triangle, variation selector-16
:arrow_double_down:|emoji.|black down-pointing double triangle
:arrow_double_up:|emoji.|black up-pointing double triangle
:arrow_down:|emoji.|downwards black arrow, variation selector-16
:arrow_down_small:|emoji.|down-pointing small red triangle
:arrow_forward:|emoji.|black right-pointing triangle, variation selector-16
:arrow_heading_down:|emoji.|arrow pointing rightwards then curving downwards, variation selector-16
:arrow_heading_up:|emoji.|arrow pointing rightwards then curving upwards, variation selector-16
:arrow_left:|emoji.|leftwards black arrow, variation selector-16
:arrow_lower_left:|emoji.|south west arrow, variation selector-16
:arrow_lower_right:|emoji.|south east arrow, variation selector-16
:arrow_right:|emoji.|black rightwards arrow, variation selector-16
:arrow_right_hook:|emoji.|rightwards arrow with hook, variation selector-16
:arrow_up:|emoji.|upwards black arrow, variation selector-16
:arrow_up_down:|emoji.|up down arrow, variation selector-16
:arrow_up_small:|emoji.|up-pointing small red triangle
:arrow_upper_left:|emoji.|north west arrow, variation selector-16
:arrow_upper_right:|emoji.|north east arrow, variation selector-16
:arrows_clockwise:|emoji.|clockwise downwards and upwards open circle arrows
:arrows_counterclockwise:|emoji.|anticlockwise downwards and upwards open circle arrows
:art:|emoji.|artist palette
:articulated_lorry:|emoji.|articulated lorry
:artificial_satellite:|emoji.|satellite
:aruba:|emoji.|regional indicator symbol letter a, regional indicator symbol letter w
:asterisk:|emoji.|*, variation selector-16, combining enclosing keycap
:astonished:|emoji.|astonished face
:athletic_shoe:|emoji.|athletic shoe
:atm:|emoji.|automated teller machine
:atom_symbol:|emoji.|atom symbol, variation selector-16
:australia:|emoji.|regional indicator symbol letter a, regional indicator symbol letter u
:austria:|emoji.|regional indicator symbol letter a, regional indicator symbol letter t
:avocado:|emoji.|avocado
:azerbaijan:|emoji.|regional indicator symbol letter a, regional indicator symbol letter z
:b:|emoji.|negative squared latin capital letter b, variation selector-16
:baby:|emoji.|baby
:baby_bottle:|emoji.|baby bottle
:baby_chick:|emoji.|baby chick
:baby_symbol:|emoji.|baby symbol
:back:|emoji.|back with leftwards arrow above
:bacon:|emoji.|bacon
:badminton:|emoji.|badminton racquet and shuttlecock
:baggage_claim:|emoji.|baggage claim
:baguette_bread:|emoji.|baguette bread
:bahamas:|emoji.|regional indicator symbol letter b, regional indicator symbol letter s
:bahrain:|emoji.|regional indicator symbol letter b, regional indicator symbol letter h
:balance_scale:|emoji.|scales, variation selector-16
:balloon:|emoji.|balloon
:ballot_box:|emoji.|ballot box with ballot
:ballot_box_with_check:|emoji.|ballot box with check, variation selector-16
:bamboo:|emoji.|pine decoration
:banana:|emoji.|banana
:bangbang:|emoji.|double exclamation mark, variation selector-16
:bangladesh:|emoji.|regional indicator symbol letter b, regional indicator symbol letter d
:bank:|emoji.|bank
:bar_chart:|emoji.|bar chart
:barbados:|emoji.|regional indicator symbol letter b, regional indicator symbol letter b
:barber:|emoji.|barber pole
:baseball:|emoji.|baseball, variation selector-16
:basketball:|emoji.|basketball and hoop
:basketball_man:|emoji.|person with ball, variation selector-16
:basketball_woman:|emoji.|person with ball, variation selector-16, zero width joiner, female sign, variation selector-16
:bat:|emoji.|bat
:bath:|emoji.|bath
:bathtub:|emoji.|bathtub
:battery:|emoji.|battery
:beach_umbrella:|emoji.|beach with umbrella
:bear:|emoji.|bear face
:bed:|emoji.|bed
:bee:|emoji.|honeybee
:beer:|emoji.|beer mug
:beers:|emoji.|clinking beer mugs
:beetle:|emoji.|lady beetle
:beginner:|emoji.|japanese symbol for beginner
:belarus:|emoji.|regional indicator symbol letter b, regional indicator symbol letter y
:belgium:|emoji.|regional indicator symbol letter b, regional indicator symbol letter e
:belize:|emoji.|regional indicator symbol letter b, regional indicator symbol letter z
:bell:|emoji.|bell
:bellhop_bell:|emoji.|bellhop bell
