Word,Count,POS,Definition
U+1F600,1,emoji number: 1,grinning face
U+1F603,2,emoji number: 2,grinning face with big eyes
U+1F604,3,emoji number: 3,grinning face with smiling eyes
U+1F601,4,emoji number: 4,beaming face with smiling eyes
U+1F606,5,emoji number: 5,grinning squinting face
U+1F605,6,emoji number: 6,grinning face with sweat
U+1F923,7,emoji number: 7,rolling on the floor laughing
U+1F602,8,emoji number: 8,face with tears of joy
U+1F642,9,emoji number: 9,slightly smiling face
U+1F643,10,emoji number: 10,upside-down face
U+1F609,11,emoji number: 11,winking face
U+1F60A,12,emoji number: 12,smiling face with smiling eyes
U+1F607,13,emoji number: 13,smiling face with halo
U+1F970,14,emoji number: 14,smiling face with hearts
U+1F60D,15,emoji number: 15,smiling face with heart-eyes
U+1F929,16,emoji number: 16,star-struck
U+1F618,17,emoji number: 17,face blowing a kiss
U+1F617,18,emoji number: 18,kissing face
U+263A,19,emoji number: 19,smiling face
U+1F61A,20,emoji number: 20,kissing face with closed eyes
U+1F619,21,emoji number: 21,kissing face with smiling eyes
U+1F972,22,emoji number: 22,smiling face with tear
U+1F60B,23,emoji number: 23,face savoring food
U+1F61B,24,emoji number: 24,face with tongue
U+1F61C,25,emoji number: 25,winking face with tongue
U+1F92A,26,emoji number: 26,zany face
U+1F61D,27,emoji number: 27,squinting face with tongue
U+1F911,28,emoji number: 28,money-mouth face
U+1F917,29,emoji number: 29,hugging face
U+1F92D,30,emoji number: 30,face with hand over mouth
U+1F92B,31,emoji number: 31,shushing face
U+1F914,32,emoji number: 32,thinking face
U+1F910,33,emoji number: 33,zipper-mouth face
U+1F928,34,emoji number: 34,face with raised eyebrow
U+1F610,35,emoji number: 35,neutral face
U+1F611,36,emoji number: 36,expressionless face
U+1F636,37,emoji number: 37,face without mouth
U+1F636 U+200D U+1F32B U+FE0F,38,emoji number: 38,⊛ face in clouds
U+1F60F,39,emoji number: 39,smirking face
U+1F612,40,emoji number: 40,unamused face
U+1F644,41,emoji number: 41,face with rolling eyes
U+1F62C,42,emoji number: 42,grimacing face
U+1F62E U+200D U+1F4A8,43,emoji number: 43,⊛ face exhaling
U+1F925,44,emoji number: 44,lying face
U+1F60C,45,emoji number: 45,relieved face
U+1F614,46,emoji number: 46,pensive face
U+1F62A,47,emoji number: 47,sleepy face
U+1F924,48,emoji number: 48,drooling face
U+1F634,49,emoji number: 49,sleeping face
U+1F637,50,emoji number: 50,face with medical mask
U+1F912,51,emoji number: 51,face with thermometer
U+1F915,52,emoji number: 52,face with head-bandage
U+1F922,53,emoji number: 53,nauseated face
U+1F92E,54,emoji number: 54,face vomiting
U+1F927,55,emoji number: 55,sneezing face
U+1F975,56,emoji number: 56,hot face
U+1F976,57,emoji number: 57,cold face
U+1F974,58,emoji number: 58,woozy face
U+1F635,59,emoji number: 59,knocked-out face
U+1F635 U+200D U+1F4AB,60,emoji number: 60,⊛ face with spiral eyes
U+1F92F,61,emoji number: 61,exploding head
U+1F920,62,emoji number: 62,cowboy hat face
U+1F973,63,emoji number: 63,partying face
U+1F978,64,emoji number: 64,disguised face
U+1F60E,65,emoji number: 65,smiling face with sunglasses
U+1F913,66,emoji number: 66,nerd face
U+1F9D0,67,emoji number: 67,face with monocle
U+1F615,68,emoji number: 68,confused face
U+1F61F,69,emoji number: 69,worried face
U+1F641,70,emoji number: 70,slightly frowning face
U+2639,71,emoji number: 71,frowning face
U+1F62E,72,emoji number: 72,face with open mouth
U+1F62F,73,emoji number: 73,hushed face
U+1F632,74,emoji number: 74,astonished face
U+1F633,75,emoji number: 75,flushed face
U+1F97A,76,emoji number: 76,pleading face
U+1F626,77,emoji number: 77,frowning face with open mouth
U+1F627,78,emoji number: 78,anguished face
U+1F628,79,emoji number: 79,fearful face
U+1F630,80,emoji number: 80,anxious face with sweat
U+1F625,81,emoji number: 81,sad but relieved face
U+1F622,82,emoji number: 82,crying face
U+1F62D,83,emoji number: 83,loudly crying face
U+1F631,84,emoji number: 84,face screaming in fear
U+1F616,85,emoji number: 85,confounded face
U+1F623,86,emoji number: 86,persevering face
U+1F61E,87,emoji number: 87,disappointed face
U+1F613,88,emoji number: 88,downcast face with sweat
U+1F629,89,emoji number: 89,weary face
U+1F62B,90,emoji number: 90,tired face
U+1F971,91,emoji number: 91,yawning face
U+1F624,92,emoji number: 92,face with steam from nose
U+1F621,93,emoji number: 93,pouting face
U+1F620,94,emoji number: 94,angry face
U+1F92C,95,emoji number: 95,face with symbols on mouth
U+1F608,96,emoji number: 96,smiling face with horns
U+1F47F,97,emoji number: 97,angry face with horns
U+1F480,98,emoji number: 98,skull
U+2620,99,emoji number: 99,skull and crossbones
U+1F4A9,100,emoji number: 100,pile of poo
U+1F921,101,emoji number: 101,clown face
U+1F479,102,emoji number: 102,ogre
U+1F47A,103,emoji number: 103,goblin
U+1F47B,104,emoji number: 104,ghost
U+1F47D,105,emoji number: 105,alien
U+1F47E,106,emoji number: 106,alien monster
U+1F916,107,emoji number: 107,robot
U+1F63A,108,emoji number: 108,grinning cat
U+1F638,109,emoji number: 109,grinning cat with smiling eyes
U+1F639,110,emoji number: 110,cat with tears of joy
U+1F63B,111,emoji number: 111,smiling cat with heart-eyes
U+1F63C,112,emoji number: 112,cat with wry smile
U+1F63D,113,emoji number: 113,kissing cat
U+1F640,114,emoji number: 114,weary cat
U+1F63F,115,emoji number: 115,crying cat
U+1F63E,116,emoji number: 116,pouting cat
U+1F648,117,emoji number: 117,see-no-evil monkey
U+1F649,118,emoji number: 118,hear-no-evil monkey
U+1F64A,119,emoji number: 119,speak-no-evil monkey
U+1F48B,120,emoji number: 120,kiss mark
U+1F48C,121,emoji number: 121,love letter
U+1F498,122,emoji number: 122,heart with arrow
U+1F49D,123,emoji number: 123,heart with ribbon
U+1F496,124,emoji number: 124,sparkling heart
U+1F497,125,emoji number: 125,growing heart
U+1F493,126,emoji number: 126,beating heart
U+1F49E,127,emoji number: 127,revolving hearts
U+1F495,128,emoji number: 128,two hearts
U+1F49F,129,emoji number: 129,heart decoration
U+2763,130,emoji number: 130,heart exclamation
U+1F494,131,emoji number: 131,broken heart
U+2764 U+FE0F U+200D U+1F525,132,emoji number: 132,⊛ heart on fire
U+2764 U+FE0F U+200D U+1FA79,133,emoji number: 133,⊛ mending heart
U+2764,134,emoji number: 134,red heart
U+1F9E1,135,emoji number: 135,orange heart
U+1F49B,136,emoji number: 136,yellow heart
U+1F49A,137,emoji number: 137,green heart
U+1F499,138,emoji number: 138,blue heart
U+1F49C,139,emoji number: 139,purple heart
U+1F90E,140,emoji number: 140,brown heart
U+1F5A4,141,emoji number: 141,black heart
U+1F90D,142,emoji number: 142,white heart
U+1F4AF,143,emoji number: 143,hundred points
U+1F4A2,144,emoji number: 144,anger symbol
U+1F4A5,145,emoji number: 145,collision
U+1F4AB,146,emoji number: 146,dizzy
U+1F4A6,147,emoji number: 147,sweat droplets
U+1F4A8,148,emoji number: 148,dashing away
U+1F573,149,emoji number: 149,hole
U+1F4A3,150,emoji number: 150,bomb
U+1F4AC,151,emoji number: 151,speech balloon
U+1F441 U+FE0F U+200D U+1F5E8 U+FE0F,152,emoji number: 152,eye in speech bubble
U+1F5E8,153,emoji number: 153,left speech bubble
U+1F5EF,154,emoji number: 154,right anger bubble
U+1F4AD,155,emoji number: 155,thought balloon
U+1F4A4,156,emoji number: 156,zzz
U+1F44B,157,emoji number: 157,waving hand
U+1F91A,158,emoji number: 158,raised back of hand
U+1F590,159,emoji number: 159,hand with fingers splayed
U+270B,160,emoji number: 160,raised hand
U+1F596,161,emoji number: 161,vulcan salute
U+1F44C,162,emoji number: 162,OK hand
U+1F90C,163,emoji number: 163,pinched fingers
U+1F90F,164,emoji number: 164,pinching hand
U+270C,165,emoji number: 165,victory hand
U+1F91E,166,emoji number: 166,crossed fingers
U+1F91F,167,emoji number: 167,love-you gesture
U+1F918,168,emoji number: 168,sign of the horns
U+1F919,169,emoji number: 169,call me hand
U+1F448,170,emoji number: 170,backhand index pointing left
U+1F449,171,emoji number: 171,backhand index pointing right
U+1F446,172,emoji number: 172,backhand index pointing up
U+1F595,173,emoji number: 173,middle finger
U+1F447,174,emoji number: 174,backhand index pointing down
U+261D,175,emoji number: 175,index pointing up
U+1F44D,176,emoji number: 176,thumbs up
U+1F44E,177,emoji number: 177,thumbs down
U+270A,178,emoji number: 178,raised fist
U+1F44A,179,emoji number: 179,oncoming fist
U+1F91B,180,emoji number: 180,left-facing fist
U+1F91C,181,emoji number: 181,right-facing fist
U+1F44F,182,emoji number: 182,clapping hands
U+1F64C,183,emoji number: 183,raising hands
U+1F450,184,emoji number: 184,open hands
U+1F932,185,emoji number: 185,palms up together
U+1F91D,186,emoji number: 186,handshake
U+1F64F,187,emoji number: 187,folded hands
U+270D,188,emoji number: 188,writing hand
U+1F485,189,emoji number: 189,nail polish
U+1F933,190,emoji number: 190,selfie
U+1F4AA,191,emoji number: 191,flexed biceps
U+1F9BE,192,emoji number: 192,mechanical arm
U+1F9BF,193,emoji number: 193,mechanical leg
U+1F9B5,194,emoji number: 194,leg
U+1F9B6,195,emoji number: 195,foot
U+1F442,196,emoji number: 196,ear
U+1F9BB,197,emoji number: 197,ear with hearing aid
U+1F443,198,emoji number: 198,nose
U+1F9E0,199,emoji number: 199,brain
U+1FAC0,200,emoji number: 200,anatomical heart
U+1FAC1,201,emoji number: 201,lungs
