U+1F600|emoji number: 1|grinning face
U+1F604|emoji number: 3|grinning face with smiling eyes
U+1F606|emoji number: 5|grinning squinting face
U+1F923|emoji number: 7|rolling on the floor laughing
U+1F642|emoji number: 9|slightly smiling face
U+1F609|emoji number: 11|winking face
U+1F607|emoji number: 13|smiling face with halo
U+1F60D|emoji number: 15|smiling face with heart-eyes
U+1F618|emoji number: 17|face blowing a kiss
U+263A|emoji number: 19|smiling face
U+1F619|emoji number: 21|kissing face with smiling eyes
U+1F60B|emoji number: 23|face savoring food
U+1F61C|emoji number: 25|winking face with tongue
U+1F61D|emoji number: 27|squinting face with tongue
U+1F917|emoji number: 29|hugging face
U+1F92B|emoji number: 31|shushing face
U+1F910|emoji number: 33|zipper-mouth face
U+1F610|emoji number: 35|neutral face
U+1F636|emoji number: 37|face without mouth
U+1F60F|emoji number: 39|smirking face
U+1F644|emoji number: 41|face with rolling eyes
U+1F62E U+200D U+1F4A8|emoji number: 43|⊛ face exhaling
U+1F60C|emoji number: 45|relieved face
U+1F62A|emoji number: 47|sleepy face
U+1F634|emoji number: 49|sleeping face
U+1F912|emoji number: 51|face with thermometer
U+1F922|emoji number: 53|nauseated face
U+1F927|emoji number: 55|sneezing face
U+1F976|emoji number: 57|cold face
U+1F635|emoji number: 59|knocked-out face
U+1F92F|emoji number: 61|exploding head
U+1F973|emoji number: 63|partying face
U+1F60E|emoji number: 65|smiling face with sunglasses
U+1F9D0|emoji number: 67|face with monocle
U+1F61F|emoji number: 69|worried face
U+2639|emoji number: 71|frowning face
U+1F62F|emoji number: 73|hushed face
U+1F633|emoji number: 75|flushed face
U+1F626|emoji number: 77|frowning face with open mouth
U+1F628|emoji number: 79|fearful face
U+1F625|emoji number: 81|sad but relieved face
U+1F62D|emoji number: 83|loudly crying face
U+1F616|emoji number: 85|confounded face
U+1F61E|emoji number: 87|disappointed face
U+1F629|emoji number: 89|weary face
U+1F971|emoji number: 91|yawning face
U+1F621|emoji number: 93|pouting face
U+1F92C|emoji number: 95|face with symbols on mouth
U+1F47F|emoji number: 97|angry face with horns
U+2620|emoji number: 99|skull and crossbones
U+1F921|emoji number: 101|clown face
U+1F47A|emoji number: 103|goblin
U+1F47D|emoji number: 105|alien
U+1F916|emoji number: 107|robot
U+1F638|emoji number: 109|grinning cat with smiling eyes
U+1F63B|emoji number: 111|smiling cat with heart-eyes
U+1F63D|emoji number: 113|kissing cat
U+1F63F|emoji number: 115|crying cat
U+1F648|emoji number: 117|see-no-evil monkey
U+1F64A|emoji number: 119|speak-no-evil monkey
U+1F48C|emoji number: 121|love letter
U+1F49D|emoji number: 123|heart with ribbon
U+1F497|emoji number: 125|growing heart
U+1F49E|emoji number: 127|revolving hearts
U+1F49F|emoji number: 129|heart decoration
U+1F494|emoji number: 131|broken heart
U+2764 U+FE0F U+200D U+1FA79|emoji number: 133|⊛ mending heart
